"模型","原始分数","原始中位","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间"
"Qwen3-235B-A22B-2507","155.253","123.12","55.45","43.97","20.70%","+54%","214","4916","¥1.10","¥8.00","25-07-21"
"Seed-OSS-36B","154.788","121.39","55.28","43.35","21.58%","-","710","18747","¥2.10","¥4.00","25-08-21"
"Qwen3-30B-A3B-2507(Think)","150.874","132.74","53.88","47.41","12.02%","+14.7%","160","16387","¥3.44","¥7.50","25-07-29"
"kimi-k2-0905-preview","149.666","110.04","53.45","39.30","26.48%","+71%","237","3832","¥1.72","¥16.00","25-09-05"
"Qwen3-Next-80B-A3B","148.205","108.82","52.93","38.87","26.57%","-","82","5335","¥0.60","¥4.00","25-09-12"
"Hunyuan T1 0711","144.333","114.10","51.55","40.75","20.95%","+29.9%","350","20459","¥2.29","¥4.00","25-07-11"
"GLM-4.5-Air(Think)","143.316","121.85","51.18","43.52","14.98%","-","279","17491","¥0.98","¥2.00","25-07-28"
"GPT-5 Chat","141.965","103.08","50.70","36.82","27.39%","-","17","1920","¥3.87","¥72.00","25-08-07"
"Claude Opus 4","138.915","112.65","49.61","40.23","18.91%","-","53","1922","¥29.06","¥540.00","25-05-23"
"gpt-oss-20b(high)","134.033","105.12","47.87","37.54","21.57%","-","38","9914","¥0.40","¥1.44","25-08-05"
"Step-3","131.83","106.18","47.08","37.92","19.45%","-","778","15126","¥3.39","¥8.00","25-07-31"
"Qwen3-32B(Think)","129.31","76.28","46.18","27.24","41.01%","-","565","18382","¥10.29","¥20.00","25-04-29"
"Ling-1T","125.318","107.05","44.76","38.23","14.57%","-","204","6072","¥2.72","¥16.00","25-10-09"
"SenseNova-V6.5-Pro","125.123","87.28","44.69","31.17","30.24%","+12.9%","800","20364","¥5.13","¥9.00","25-07-26"
"GLM-4.6","112.319","88.14","40.11","31.48","21.53%","+5.7%","40","3515","¥0.79","¥8.00","25-09-30"
"DeepSeek V3.2","107.849","95.35","38.52","34.05","11.59%","-","112","2849","¥0.24","¥3.00","25-09-29"
"MiniMax-M1","106.752","79.19","38.13","28.28","25.82%","-","1411","19418","¥4.35","¥8.00","25-06-17"
"讯飞星火X1 0725","106.402","81.75","38.00","29.20","23.17%","+91.1%","362","11104","¥3.73","¥12.00","25-07-25"
"文心一言X1.1","103.114","89.45","36.83","31.95","13.25%","+9.9%","458","9709","¥1.09","¥4.00","25-09-08"
"Gemini 2.5 Flash 0925","98.017","75.91","35.01","27.11","22.55%","+19%","14","3487","¥1.76","¥18.00","25-09-25"
"Hunyuan TurboS 0926","97.219","78.97","34.72","28.20","18.77%","+25.9%","128","6036","¥0.34","¥2.00","25-09-29"
"Qwen3-30B-A3B-2507","95.18","76.73","33.99","27.41","19.38%","-","54","5369","¥0.45","¥3.00","25-07-29"
"Claude Sonnet 4.5","90.896","72.51","32.46","25.90","20.23%","-15%","19","1267","¥3.83","¥108.00","25-09-29"
"ERINE-4.5 Turbo","90.888","68.33","32.46","24.40","24.82%","+55.6%","85","2588","¥0.23","¥3.20","25-04-24"
"Doubao-Seed-1.6 1015","90.154","81.09","32.20","28.96","10.06%","+26.2%","26","1031","¥0.23","¥8.00","25-10-16"
"Grok4 Fast","85.652","65.22","30.59","23.29","23.85%","-","9","1334","¥0.13","¥3.60","25-09-19"
"Ling-flash-2.0","84.667","70.35","30.24","25.12","16.91%","-","159","6327","¥0.71","¥4.00","25-09-18"
"GLM-4.5-Air","83.882","58.57","29.96","20.92","30.17%","-","66","4127","¥0.23","¥2.00","25-07-28"
"ERNIE-4.5-300B-A47B","72.995","55.82","26.07","19.94","23.52%","-","62","2035","¥0.18","¥3.20","25-06-29"
"Mistral Medium 3.1","72.567","62.30","25.92","22.25","14.14%","-","21","2327","¥0.94","¥14.40","25-08-13"
"Doubao-Seed-1.6","71.403","47.80","25.50","17.07","33.06%","+5.3%","31","977","¥0.22","¥8.00","25-06-11"
"Claude Haiku 4.5","70.626","55.06","25.22","19.67","22.03%","-","7","898","¥0.91","¥36.00","25-10-16"
"Qwen3-32B","64.083","56.48","22.89","20.17","11.87%","-","25","855","¥0.19","¥8.00","25-04-29"
